lat,lon,swing
24.555,-81.7522,135
24.5833,-81.6833,130
24.6278,-82.8736,164
24.6589,-81.2761,132
24.7258,-81.0517,146
24.7425,-80.9822,128
24.7706,-80.9072,132
24.7833,-80.8833,134
24.9178,-80.6364,120
25.0069,-80.5211,133
25.1422,-80.9144,121
25.1936,-80.3492,122
25.3867,-80.5936,120
25.5011,-80.55,128
25.5819,-80.4361,128
25.6475,-80.4331,127
25.6719,-80.1567,121
25.7167,-80.2833,122
25.7553,-80.3836,134
25.7608,-80.8242,142
25.7906,-80.3164,131
25.8064,-80.1336,129
25.8175,-80.2858,128
25.8489,-81.3897,131
25.8603,-81.0331,145
25.8997,-81.3183,138
25.9069,-80.2803,132
25.9156,-97.4186,214
25.9492,-81.7139,154
25.95,-80.2158,133
25.9989,-80.2411,135
26.0283,-80.1342,126
26.0619,-97.8997,236
26.0719,-80.1536,126
26.0814,-97.1033,191
26.0933,-80.3953,136
26.0942,-97.3094,205
26.1019,-80.2011,132
26.1408,-80.1061,124
26.1522,-81.7753,147
26.1658,-97.3458,217
26.1686,-81.7158,153
26.1781,-97.9708,231
26.1839,-98.2539,246
26.1917,-98.2511,243
26.1969,-80.1708,136
26.2028,-97.6728,234
26.2167,-98.4,255
26.2281,-97.6542,229
26.2333,-80.1406,137
26.2422,-98.3992,246
26.25,-80.1083,127
26.2656,-97.8714,233
26.2678,-80.275,141
26.2981,-98.1575,246
26.3283,-80.9958,149
26.3769,-98.8117,266
26.4622,-81.4406,149
26.47,-80.6403,144
26.4819,-97.8097,241
26.4986,-80.2161,134
26.5258,-98.0633,242
26.5361,-81.755,159
26.5578,-97.4264,210
26.5581,-99.137200000000007,287
26.565,-98.1236,261
26.565,-98.1203,245
26.585,-81.8614,156
26.6033,-81.1292,153
26.6847,-80.0994,138
26.6928,-80.6711,151
26.7361,-81.0492,156
26.7422,-80.94,166
26.7458,-81.4264,156
26.7897,-81.3045,154
26.8261,-80.1489,146
26.8339,-97.7078,247
26.84,-81.0872,161
26.86,-80.0553,151
26.8639,-80.6256,162
26.8706,-99.2536,284
26.9164,-81.9983,159
26.9172,-81.9914,160
27.0267,-98.9808,273
27.0436,-81.0694,184
27.0997,-80.2628,150
27.1006,-82.4364,173
27.1394,-98.12,263
27.1508,-80.8653,161
27.1525,-81.3689,161
27.1819,-81.3508,170
27.1897,-80.2397,148
27.2169,-97.6956,251
27.2181,-81.8739,170
27.2417,-82.3161,165
27.3194,-98.6775,274
27.4014,-82.5586,171
27.4417,-80.3508,156
27.4467,-97.2967,233
27.4467,-82.5014,180
27.4981,-80.3767,155
27.5,-97.8167,247
27.5139,-80.7694,165
27.5478,-81.7994,174
27.5683,-99.4983,303
27.5706,-82.1378,172
27.5842,-97.8031,256
27.5892,-97.4547,230
27.5947,-81.5267,174
27.5969,-98.4161,260
27.6089,-82.3478,173
27.6528,-80.4031,158
27.6531,-80.2428,157
27.6606,-97.3983,230
27.6833,-97.2833,237
27.7283,-98.0678,260
27.7411,-98.0247,267
27.7628,-82.6261,194
27.7792,-97.5056,252
27.7839,-97.5108,243
27.7894,-97.6619,256
27.8381,-97.0592,247
27.8722,-98.6175,289
27.8986,-81.8433,175
27.9106,-82.6875,184
27.9378,-81.5992,175
27.9619,-82.5403,185
27.9914,-82.0136,173
28.0153,-81.7331,179
28.0206,-81.9219,189
28.0236,-82.1422,172
28.0239,-99.3508,301
28.0286,-97.0567,247
28.0353,-97.4972,250
28.0372,-97.8725,268
28.0425,-81.0372,177
28.0622,-81.7542,190
28.0836,-97.0464,250
28.1011,-80.6439,174
28.1042,-81.7144,187
28.1136,-97.4178,253
28.1522,-82.7539,187
28.2764,-81.4239,182
28.2939,-97.3297,262
28.3044,-96.8231,251
28.3081,-96.8047,248
28.3294,-97.2947,254
28.3378,-82.26,184
28.3392,-99.6328,304
28.3667,-97.6667,277
28.4114,-98.5294,294
28.4339,-81.325,188
28.4342,-96.4278,237
28.4553,-81.7233,197
28.4567,-99.2183,299
28.4575,-97.7061,271
28.4658,-98.3539,294
28.4675,-98.2525,295
28.4736,-82.4544,186
28.4897,-99.8739,304
28.5033,-98.8392,293
28.5175,-82.5756,191
28.5453,-81.3331,194
28.5978,-98.5547,291
28.6078,-96.6417,272
28.6158,-80.6928,175
28.6164,-82.3658,180
28.6242,-80.8158,195
28.6575,-96.5553,251
28.6617,-97.385,267
28.6664,-82.0894,199
28.6794,-99.8311,280
28.6806,-99.1833,293
28.6836,-95.9733,249
28.7156,-97.1742,270
28.7247,-96.2536,253
28.7322,-81.562,199
28.7569,-100.4792,312
28.7797,-81.2436,197
28.8028,-82.3125,198
28.8147,-81.2778,200
28.8208,-81.8097,206
28.8439,-96.9214,276
28.8608,-97.0181,269
28.8614,-96.9303,272
28.8728,-81.7844,213
28.8889,-99.0897,298
28.9069,-97.8756,291
28.9275,-98.7494,272
28.9606,-98.4772,300
28.9797,-95.975,263
28.9844,-95.3808,262
29.0181,-81.3106,200
29.0283,-98.5686,286
29.0567,-96.2319,276
29.0661,-80.915,190
29.0892,-97.3433,278
29.1097,-95.4619,262
29.1322,-98.1597,290
29.1344,-103.515,317
29.1572,-95.4592,255
29.1636,-82.0778,199
29.1828,-81.0483,196
29.185,-99.8325,301
29.1853,-102.9622,312.5
29.1967,-81.0083,199
29.2,-96.2653,290
29.2283,-97.7675,291
29.2353,-96.1817,273
29.2358,-98.8433,277
29.2667,-95.895,274
29.2694,-103.7575,301
29.2703,-103.3003,249
29.2733,-94.8592,261
29.2739,-97.1556,290
29.3,-94.8,260
29.3092,-97.4061,292
29.3167,-100.4144,280
29.3272,-103.2061,293
29.3286,-103.5531,302
29.3331,-89.4075,248
29.3364,-99.1383,288
29.3389,-98.4719,302
29.3414,-89.5158,249
29.3483,-103.2092,293
29.3486,-103.595,307
29.36,-99.1742,296
29.3653,-95.2336,256
29.3783,-100.9269,307
29.4083,-82.8186,216
29.4217,-100.9119,312
29.4292,-81.5158,217
29.4372,-103.9583,285
29.4508,-98.7028,300
29.4608,-101.0286,318
29.4631,-90.3072,248
29.4706,-96.9397,288
29.4717,-95.0833,262
29.4744,-103.4061,294
29.4794,-81.9681,223
29.4822,-95.6314,279
29.5189,-95.2417,270
29.5253,-98.4539,290
29.5339,-97.45,301
29.5442,-98.4839,298
29.5622,-91.5256,269
29.5711,-104.3714,308
29.5814,-89.8222,248
29.5858,-90.7303,256
29.61,-100.4519,304
29.6183,-95.6358,281
29.6222,-95.6564,284
29.6333,-83.1053,229
29.6339,-97.0644,303
29.6347,-81.2061,211
29.6381,-95.2819,271
29.6603,-103.1736,302
29.6703,-100.0097,295
29.6711,-83.3883,227
29.6756,-97.6578,310
29.6814,-82.4942,229
29.6833,-91.1761,255
29.6919,-82.2756,226
29.6989,-96.5731,295
29.7036,-98.0281,303
29.7192,-98.1189,299
29.7236,-83.3061,237
29.7286,-92.8181,270
29.73,-95.2736,283
29.7333,-85.0333,250
29.755,-81.5389,233
29.7653,-81.4697,220
29.7714,-96.1456,294
29.7758,-90.78,258
29.7853,-90.1158,264
29.7856,-92.2047,274
29.7878,-94.6342,276
29.7908,-100.6742,309
29.7956,-82.9178,240
29.7986,-98.7353,296
29.8097,-101.5603,321
29.81,-99.2497,294
29.8167,-90.0167,262
29.8233,-91.5442,254
29.8286,-82.5972,228
29.8706,-98.1967,307
29.8722,-89.83,261
29.8833,-97.9494,300
29.8875,-81.2917,215
29.8894,-93.4019,280
29.91,-90.0342,268
29.9142,-94.9908,273
29.9167,-99.7908,283
29.9167,-95.15,282
29.9167,-90.1303,273
29.9172,-96.8753,316
29.9381,-82.1164,227
29.9506,-94.0206,276
29.9592,-91.7108,269
29.9667,-97.45,312
29.98,-95.36,288
29.9933,-90.2511,267
29.9989,-84.485,264
30.0031,-92.7808,287
30.0039,-100.2064,303
30.005,-101.1772,305
30.0067,-97.1689,308
30.0164,-97.4786,313
30.0317,-96.2167,304
30.0375,-91.8839,268.5
30.0481,-102.2131,310
30.0494,-90.0289,280
30.05,-102.1167,328
30.0564,-90.5803,272
30.0592,-94.795,280
30.0628,-99.505,301
30.0675,-95.5561,287
30.0689,-94.2928,285
30.0719,-91.0278,268
30.0719,-83.5736,236
30.0747,-99.1081,303
30.0858,-91.8694,279
30.0917,-91.8731,270
30.0969,-94.0997,287
30.0986,-83.5742,229
30.1061,-98.4286,311
30.1064,-83.1819,243
30.1192,-85.2042,244
30.125,-93.2158,277
30.1383,-104.6822,311
30.1414,-102.3917,300
30.1592,-96.3972,318
30.1728,-97.6983,325
30.1831,-97.68,311
30.1853,-82.5942,243
30.1925,-103.2717,268
30.1981,-91.1256,270
30.2,-101.8333,354
30.2003,-92.6642,284
30.205,-91.9875,279
30.2061,-101.5575,320
30.2119,-85.6828,258
30.2133,-97.9822,314
30.2167,-81.8833,245
30.2192,-92.065,280
30.2264,-93.7394,278
30.2333,-81.6667,242
30.2392,-98.9089,307
30.2408,-92.3478,288
30.2492,-85.6606,249
30.2503,-94.1786,301
30.2506,-88.0775,277
30.265,-89.7697,274
30.2678,-101.4533,311
30.2717,-82.1856,236
30.2836,-98.4172,312
30.2875,-81.3928,226
30.2889,-82.965,236
30.2947,-89.3831,280
30.3125,-104.0722,284
30.3208,-97.7603,318
30.3236,-96.1594,313
30.3303,-95.4831,304
30.3361,-81.5147,235
30.3367,-96.5403,319
30.3392,-93.215,282
30.3433,-89.8222,274
30.3494,-97.3683,320
30.35,-87.3167,263
30.3503,-81.8831,241
30.3519,-101.2519,318
30.3567,-95.4139,297
30.3636,-95.0839,294
30.3644,-91.1672,282
30.3758,-89.5989,273
30.3764,-103.66,272
30.3772,-89.1228,273
30.3878,-88.2281,263
30.3919,-91.2711,278
30.3931,-89.0008,280
30.3961,-88.4781,265
30.3961,-84.3556,265
30.3975,-84.3289,261
30.4,-86.4717,264
30.4,-81.4167,245
30.4064,-97.0136,316
30.4119,-89.0808,280
30.4144,-97.7664,319
30.4192,-92.0439,274
30.4267,-101.0367,323
30.4347,-93.4692,287
30.4392,-82.7847,249
30.4406,-83.9858,265
30.4453,-99.8045,296
30.4517,-83.4119,257
30.4636,-88.5319,268
30.4781,-87.1869,271
30.4844,-81.7019,244
30.4917,-92.4303,299
30.4922,-83.7833,259
30.5031,-90.3772,281
30.5069,-86.9597,251
30.5108,-99.7664,310
30.5164,-94.4383,298
30.5217,-89.7083,271
30.5228,-82.9447,253
30.5272,-90.1114,270
30.5317,-86.4928,270
30.5333,-95.15,295
30.5372,-91.1469,279
30.5467,-87.8808,273
30.5486,-87.8758,270
30.5497,-84.5836,251
30.5653,-87.7017,272
30.57,-97.4092,320
30.5831,-100.6503,320
30.5833,-94.4,277
30.5844,-97.4156,322
30.5892,-96.3647,317
30.5908,-104.4914,299
30.5997,-103.8869,262
30.6036,-92.7739,295
30.6222,-98.0847,320
30.6264,-89.055,266
30.6264,-88.0681,281
30.6589,-81.4636,247
30.6794,-88.2397,277
30.6836,-97.7172,326
30.6886,-101.8272,318
30.7044,-87.0231,273
30.7053,-104.0233,280
30.7064,-95.5422,318
30.7094,-90.525,290
30.7167,-87.0167,274
30.7169,-101.2061,324
30.7189,-97.3211,320
30.7244,-86.0939,278
30.7267,-91.3672,291
30.7394,-94.9256,308
30.74,-82.1278,268
30.7406,-98.2353,328
30.7425,-98.6542,322
30.7439,-95.5861,312
30.7478,-99.2306,308
30.7586,-98.2339,313
30.7794,-87.1414,283
30.7797,-86.5225,277
30.7808,-89.8567,288
30.7825,-83.2767,267
30.7836,-85.4847,280
30.7836,-83.5692,274
30.7931,-94.1819,297
30.8056,-83.2736,269
30.8078,-81.4597,253
30.8178,-90.9733,285
30.8186,-90.18,288
30.8192,-100.7572,324
30.8228,-84.6175,273
30.8264,-82.3606,269
30.8275,-100.1103,313
30.8356,-85.1839,275
30.8408,-89.5453,295
30.8428,-93.2869,295
30.8458,-96.97,312
30.85,-92.7833,294
30.8667,-89.1333,283
30.8694,-100.5997,319
30.8697,-84.2175,268
30.8839,-87.7853,279
30.8878,-102.3008,330
30.9072,-102.9153,315
30.9119,-102.9167,303
30.9139,-83.8611,259
30.9144,-99.7958,321
30.9392,-95.9203,310
30.9461,-93.2789,303
30.9539,-85.8831,277
30.9589,-81.7072,263
30.9594,-92.1786,308
30.9833,-88.7167,291
30.9844,-103.7403,313
31.0158,-104.1108,309
31.0286,-84.8911,289
31.0328,-96.4889,321
31.0372,-97.5283,324
31.0383,-85.8708,281
31.0417,-104.8372,324
31.0425,-86.3117,279
31.05,-93.1833,307
31.0581,-87.0547,275
31.0619,-94.1011,320
31.0658,-97.6919,333
31.0667,-97.8333,327
31.0717,-98.1847,330
31.0767,-82.8003,279
31.0781,-97.3183,329
31.08,-90.0603,293
31.0931,-91.2325,291
31.1,-97.4833,328
31.1331,-102.2217,333
31.1333,-97.7167,328
31.1414,-87.0486,289
31.1417,-93.2397,310
31.1444,-99.3492,324
31.145,-87.0517,279
31.15,-92.9667,305
31.1522,-81.3908,268
31.1631,-90.8944,299
31.1681,-84.7664,274
31.1681,-81.5022,267
31.175,-93.5653,324
31.1769,-83.7492,272
31.1783,-92.4108,311
31.1819,-87.4389,294
31.1828,-90.4708,296
31.1831,-105.3542,327
31.1833,-98.7167,333
31.1853,-105.7414,330
31.1903,-84.2036,279
31.1922,-84.4464,280
31.1964,-95.1461,317
31.2,-101.4625,334
31.2,-93.5697,311
31.2208,-99.8494,326
31.2239,-84.5553,295
31.2353,-88.9186,301
31.2361,-94.7544,311
31.2489,-92.4489,312
31.25,-82.4,277
31.2503,-89.8361,301
31.2514,-82.3128,277
31.2547,-89.3392,297
31.2581,-95.9744,323
31.2644,-83.2392,257
31.2739,-81.9197,261
31.2819,-89.2531,297
31.2842,-98.7589,336
31.2975,-85.8997,287
31.3028,-102.8222,353
31.3072,-95.4508,323
31.3072,-86.5225,280
31.3089,-86.3939,281
31.3128,-84.4706,283
31.3206,-92.4611,316
31.3214,-85.449700000000007,286
31.3336,-108.5306,309
31.3336,-96.8581,325
31.3347,-92.5586,310
31.345,-109.5394,292
31.3456,-110.2542,296
31.3625,-85.3397,302
31.3656,-88.9322,291
31.3706,-100.4942,335
31.3711,-100.4922,331
31.3731,-91.9053,308
31.3747,-93.3911,322
31.3781,-82.1292,271
31.3783,-103.6331,344
31.3894,-87.4203,292
31.3928,-92.2956,312
31.3944,-92.7164,310
31.3972,-81.2811,270
31.4,-93.2833,318
31.4028,-106.0581,328
31.4072,-102.3578,315
31.4072,-93.7842,327
31.4144,-97.7019,328
31.4156,-87.0442,294
31.4167,-103.5,344
31.4208,-110.8458,280
31.4269,-94.8942,311
31.435,-97.4011,344
31.4403,-98.5903,316
31.445,-86.9533,294
31.4461,-83.4767,290
31.4475,-109.9289,294
31.4539,-100.4933,334
31.4553,-110.9681,285
31.4583,-109.6061,301
31.4625,-98.1619,340
31.4664,-90.8853,299
31.4714,-88.2503,301
31.4825,-91.8628,314
31.4831,-111.5436,291
31.4889,-82.8206,297
31.5069,-94.1072,322
31.5075,-81.8628,279
31.5183,-92.7142,325
31.5206,-99.9264,338
31.5253,-87.9278,297
31.5333,-101.2842,349
31.5339,-84.1489,298
31.5356,-84.1944,295
31.5358,-82.5067,278
31.5414,-102.9122,349
31.5447,-90.4581,305
31.5514,-99.7081,330
31.5519,-90.1058,312
31.5553,-110.2847,286
31.5589,-110.5294,288
31.5678,-111.0497,292
31.5717,-111.5056,295
31.5769,-93.4817,318
31.5883,-110.3442,296
31.5889,-91.3408,295
31.5908,-110.5086,283
31.6003,-97.2169,337
31.615,-85.0494,300
31.6164,-94.6431,328
31.6189,-97.2283,354
31.6219,-102.8072,330
31.6333,-101.8333,329
31.6419,-89.5572,298
31.65,-81.8333,279
31.6508,-87.7097,298
31.6661,-92.2006,322
31.6725,-100.7283,332
31.6728,-102.4133,336
31.6756,-89.1236,307
31.6772,-88.6708,307
31.6953,-82.9239,283
31.7003,-96.5142,334
31.7003,-83.6231,294
31.7078,-82.1969,289
31.7108,-83.2517,300
31.7119,-110.0686,312
31.7322,-96.2078,341
31.7356,-102.5897,343
31.7383,-98.9456,338
31.7414,-99.9764,334
31.7456,-105.0806,360
31.7625,-110.8464,297
31.7633,-84.1869,299
31.7672,-84.7931,303
